Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2013;12;16;06;48;0;292;1083;1083;320;20
2013;12;16;07;192;37;1771;5506;5506;1484;516
2013;12;16;08;192;63;14728;12957;12957;5165;9818
2013;12;16;09;192;121;23119;23671;23671;11841;11591
2013;12;16;10;192;135;28758;28005;28005;13810;15275
2013;12;16;11;192;122;26874;29009;29009;15324;11864
2013;12;16;12;192;167;29609;34023;34023;17642;12326
2013;12;16;13;654;109;20868;41218;41218;13220;8411
2013;12;16;14;238;120;23527;42471;42471;12574;11311
2013;12;16;15;192;137;27762;46295;46295;11693;16398
2013;12;16;16;192;152;32556;54465;54465;14480;18420
2013;12;16;17;192;142;23954;55129;55129;7912;16376
2013;12;16;18;192;152;20712;56012;56012;7893;13163
2013;12;16;19;192;141;12906;60206;60206;6221;7018
2013;12;16;20;192;130;8119;58846;58846;4008;4433
2013;12;16;21;192;109;4709;51116;51116;2282;2728
2013;12;16;22;192;115;5011;52134;52134;2595;2723
2013;12;16;23;192;77;3757;44622;44622;1925;2101
2013;12;17;00;192;51;2734;22656;22656;1921;1056
2013;12;17;01;192;22;2054;8014;8014;1745;523
2013;12;17;02;192;12;1829;3670;3670;1680;353
2013;12;17;03;192;11;1660;2028;2028;1679;184
2013;12;17;04;192;9;1732;962;962;1691;242
2013;12;17;05;192;3;1547;1506;1506;1671;71
2013;12;17;06;168;14;1345;3351;3351;1495;32
2013;12;17;07;96;17;1513;5652;5652;1367;259
2013;12;17;08;490;10;3695;3416;3416;2749;1446
2013;12;17;09;674;0;165;0;0;839;0
2013;12;17;10;691;0;134;0;0;825;0
2013;12;17;11;437;0;321;0;0;758;0
2013;12;17;12;96;0;116;0;0;212;0
2013;12;17;13;96;0;164;0;0;260;0
2013;12;17;14;96;0;122;0;0;218;0
2013;12;17;15;96;0;231;0;0;327;0
2013;12;17;16;96;0;119;0;0;215;0
2013;12;17;17;96;0;162;0;0;258;0
2013;12;17;18;96;0;119;0;0;215;0
2013;12;17;19;96;0;161;0;0;257;0
2013;12;17;20;96;0;120;0;0;216;0
2013;12;17;21;96;0;161;0;0;257;0
2013;12;17;22;96;0;121;0;0;217;0
2013;12;17;23;96;0;161;0;0;257;0
2013;12;18;00;96;0;120;0;0;216;0
2013;12;18;01;96;0;67;0;0;163;0
2013;12;18;02;96;0;12;0;0;108;0
2013;12;18;03;96;0;12;0;0;108;0
2013;12;18;04;96;0;26;0;0;122;0
2013;12;18;05;96;0;12;0;0;108;0
2013;12;18;06;56;0;6;0;0;62;0
2013;12;19;06;0;1;110;168;168;85;26
2013;12;19;07;288;52;6537;19930;19930;4347;2530
2013;12;19;08;288;175;35528;39932;39932;16880;19111
2013;12;19;09;288;237;64752;63115;63115;32113;33164
2013;12;19;10;288;349;73324;83336;83336;40833;33128
2013;12;19;11;280;314;72414;83219;83219;37672;35336
2013;12;19;12;192;228;44696;61733;61733;26776;18340
2013;12;19;13;192;175;33394;64164;64164;21801;11960
2013;12;19;14;964;131;24011;56292;56292;16590;8516
2013;12;19;15;314;187;27960;58147;58147;14471;13990
2013;12;19;16;192;198;36597;65429;65429;19704;17283
2013;12;19;17;192;187;28040;65494;65494;13035;15384
2013;12;19;18;192;136;26173;67160;67160;13131;13370
2013;12;19;19;192;130;13301;60284;60284;7616;6007
2013;12;19;20;192;112;6214;55149;55149;3728;2790
2013;12;19;21;192;96;4054;52431;52431;2443;1899
2013;12;19;22;192;118;3475;47059;47059;2265;1520
2013;12;19;23;192;68;2426;37973;37973;1812;874
2013;12;20;00;192;51;1915;25150;25150;1777;381
2013;12;20;01;192;38;2100;12766;12766;1915;415
