Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;11;30;06;32;1;316;232;232;349;0
2014;11;30;07;384;23;3326;5123;5123;3731;2
2014;11;30;08;384;27;3558;10289;10289;3764;205
2014;11;30;09;384;90;3855;24907;24907;4051;278
2014;11;30;10;384;188;4114;48096;48096;4075;611
2014;11;30;11;384;321;5134;75442;75442;4456;1383
2014;11;30;12;384;375;7001;86439;86439;5477;2283
2014;11;30;13;384;363;6169;81596;81596;5048;1868
2014;11;30;14;368;250;5775;60252;60252;4183;2210
2014;11;30;15;352;254;6457;63989;63989;4433;2630
2014;11;30;16;368;360;10785;82264;82264;5195;6318
2014;11;30;17;384;388;9407;98252;98252;5241;4938
2014;11;30;18;384;508;10730;111949;111949;5474;6148
2014;11;30;19;384;473;9220;109037;109037;4910;5167
2014;11;30;20;384;416;7245;110487;110487;4712;3333
2014;11;30;21;384;378;7111;87747;87747;4607;3266
2014;11;30;22;384;316;5896;83148;83148;4319;2277
2014;11;30;23;384;261;4922;63928;63928;4239;1328
2014;12;01;00;368;143;4542;36321;36321;4130;923
2014;12;01;01;368;64;4213;16883;16883;3850;795
2014;12;01;02;367;29;3370;11746;11746;3689;77
2014;12;01;03;384;10;3454;7984;7984;3717;131
2014;12;01;04;383;11;3346;6271;6271;3740;0
2014;12;01;05;384;14;3430;6286;6286;3727;101
2014;12;01;06;383;27;3657;9165;9165;3888;179
2014;12;01;07;384;60;6275;20619;20619;4269;2450
2014;12;01;08;384;315;45231;33695;33695;20131;25799
2014;12;01;09;384;449;89480;51379;51379;44913;45400
2014;12;01;10;383;621;105852;67692;67692;56438;50418
2014;12;01;11;384;698;97134;74100;74100;47455;50761
2014;12;01;12;384;705;94565;77903;77903;48333;47321
2014;12;01;13;383;511;64763;77910;77910;42718;22939
2014;12;01;14;384;444;47441;66904;66904;32712;15557
2014;12;01;15;384;575;60132;87098;87098;31357;29734
2014;12;01;16;384;640;68792;97466;97466;32676;37140
2014;12;01;17;384;664;50756;111118;111118;21539;30265
2014;12;01;18;384;652;50406;116025;116025;27573;23869
2014;12;01;19;384;585;38485;109825;109825;21409;18045
2014;12;01;20;384;485;16024;109276;109276;9297;7596
2014;12;01;21;384;390;8211;102155;102155;5380;3605
2014;12;01;22;384;384;6808;87360;87360;4755;2821
2014;12;01;23;384;249;6029;68279;68279;4786;1876
2014;12;02;00;382;133;5316;34736;34736;4141;1690
2014;12;02;01;384;60;4268;15324;15324;3994;718
2014;12;02;02;384;22;3741;9239;9239;3827;320
2014;12;02;03;384;14;3517;5864;5864;3828;87
2014;12;02;04;384;10;3632;5151;5151;3850;176
2014;12;02;05;384;4;3433;4293;4293;3821;0
2014;12;02;06;383;8;3967;7035;7035;4175;183
2014;12;02;07;384;64;5567;16399;16399;5031;984
2014;12;02;08;384;260;41366;27522;27522;17516;24494
2014;12;02;09;384;456;85836;43539;43539;38797;47879
2014;12;02;10;384;568;92987;55634;55634;40808;53131
2014;12;02;11;384;695;94837;67097;67097;47248;48668
2014;12;02;12;384;535;72986;63217;63217;34393;39512
2014;12;02;13;384;467;52198;66088;66088;32332;20717
2014;12;02;14;384;403;42708;61160;61160;27667;15828
2014;12;02;15;384;510;63567;51063;51063;29905;34556
2014;12;02;16;384;615;68464;83083;83083;33156;36307
2014;12;02;17;384;605;55742;92932;92932;25203;31528
2014;12;02;18;384;607;48442;94232;94232;22248;27185
2014;12;02;19;384;546;29469;94467;94467;17172;13227
2014;12;02;20;384;411;14356;87139;87139;8349;6802
2014;12;02;21;384;413;7807;87127;87127;4935;3669
2014;12;02;22;382;317;6274;75800;75800;4551;2422
2014;12;02;23;384;266;5332;71661;71661;4640;1342
2014;12;03;00;383;142;5332;32764;32764;4615;1242
2014;12;03;01;384;63;5437;16928;16928;4058;1826
2014;12;03;02;383;21;3757;8046;8046;3926;235
2014;12;03;03;384;14;3465;6140;6140;3828;35
2014;12;03;04;384;16;3648;4923;4923;3853;195
2014;12;03;05;384;9;3435;5335;5335;3828;0
2014;12;03;06;384;18;3717;4935;4935;4086;33
2014;12;03;07;384;51;5527;15788;15788;4457;1505
2014;12;03;08;384;323;42048;31535;31535;19957;22798
2014;12;03;09;384;447;66756;47223;47223;32817;34770
2014;12;03;10;384;541;81259;60552;60552;45553;36631
2014;12;03;11;384;630;85441;69882;69882;41076;45379
2014;12;03;12;384;563;75259;72637;72637;42017;34189
2014;12;03;13;384;531;58277;82529;82529;34276;24916
